trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.9, 'e': 0.8097278682212584}",25,0,-146.9849396225354,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.9, 'e': 0.8016305895390459}",25,0,-63.60272152863106,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.7936142836436554}",30,0,-128.93136309729186,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.7856781408072188}",35,0,-224.00925286410106,"{0: 14, 1: 10, 2: 7, 3: 2, 4: 2}",0
26,False,"{'a': 0.9, 'e': 0.7778213593991467}",25,5,-12.29153832420503,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.7700431458051551}",30,0,-166.28192154293012,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.7623427143471035}",20,0,-79.74609215776275,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.7547192872036325}",25,0,-155.70347129538453,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
30,False,"{'a': 0.9, 'e': 0.7471720943315961}",20,0,-80.58561475226671,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.7397003733882802}",20,2,-9.50074772278404,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.7323033696543975}",25,0,-109.20424486413927,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.9, 'e': 0.7249803359578535}",25,6,-47.92654722023564,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.9, 'e': 0.7177305325982749}",20,0,-19.4938603768665,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.9, 'e': 0.7105532272722921}",20,8,-95.59269761993453,"{0: 6, 1: 1, 2: 2, 3: 2, 4: 1}",1
36,False,"{'a': 0.9, 'e': 0.7034476949995692}",20,3,-60.143468102528445,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.9, 'e': 0.6964132180495735}",25,0,-91.16536698392939,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.6894490858690778}",25,0,-106.85852795656167,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.682554595010387}",25,0,-93.82882092395121,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.9, 'e': 0.6757290490602831}",30,0,-86.23857147834646,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.6689717585696803}",35,4,-74.87497046178378,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 1}",1
42,False,"{'a': 0.9, 'e': 0.6622820409839835}",25,13,-19.312779896487314,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.6556592205741436}",20,0,-55.49660900263464,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.6491026283684022}",20,0,-135.19514805357792,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.9, 'e': 0.6426116020847181}",20,11,-15.728016136454674,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.6361854860638709}",25,14,-15.948066160722757,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.6298236312032323}",30,16,1.4133341212863646,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.6235253948912}",20,6,-10.154258387557238,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.617290140942288}",20,12,-31.647094741425757,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.9, 'e': 0.611117239532865}",20,0,-72.57888757608794,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.6050060671375364}",25,0,-104.75482827162688,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
52,False,"{'a': 0.9, 'e': 0.598956006466161}",20,0,-11.1556922508566,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.5929664464014994}",30,7,-43.13330698397238,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.5870367819374844}",30,0,-152.12624745831107,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.9, 'e': 0.5811664141181095}",20,0,6.342671069376368,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.5753547499769285}",25,0,-108.04802061131666,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
57,False,"{'a': 0.9, 'e': 0.5696012024771592}",20,4,-82.40953134937413,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.9, 'e': 0.5639051904523875}",25,0,-54.84583682064319,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.9, 'e': 0.5582661385478637}",30,0,-145.66394808588342,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
60,False,"{'a': 0.9, 'e': 0.5526834771623851}",20,0,-65.14348228173004,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
